Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
2021,March,1 North West Metro, Banyule,"6,308","4,794.9"
2021,March,1 North West Metro, Brimbank,"14,560","7,132.9"
2021,March,1 North West Metro, Darebin,"11,513","6,968.1"
2021,March,1 North West Metro, Hobsons Bay,"4,469","4,583.9"
2021,March,1 North West Metro, Hume,"15,540","6,301.2"
2021,March,1 North West Metro, Maribyrnong,"7,060","7,502.6"
2021,March,1 North West Metro, Melbourne,"26,031","15,199.4"
2021,March,1 North West Metro, Melton,"9,902","5,486.3"
2021,March,1 North West Metro, Moonee Valley,"6,121","4,673.2"
2021,March,1 North West Metro, Moreland,"10,182","5,432.9"
2021,March,1 North West Metro, Nillumbik,"1,525","2,349.4"
2021,March,1 North West Metro, Whittlesea,"11,475","4,804.3"
2021,March,1 North West Metro, Wyndham,"12,748","4,369.6"
2021,March,1 North West Metro, Yarra,"10,861","10,719.2"
2021,March,1 North West Metro,Total,"148,295","6,430.6"
2021,March,2 Eastern, Alpine,400,"3,053.8"
2021,March,2 Eastern, Bass Coast,"2,102","5,454.5"
2021,March,2 Eastern, Baw Baw,"3,599","6,449.0"
2021,March,2 Eastern, Benalla,"1,003","7,053.5"
2021,March,2 Eastern, Boroondara,"5,965","3,333.4"
2021,March,2 Eastern, East Gippsland,"3,639","7,569.9"
2021,March,2 Eastern, Greater Shepparton,"5,950","8,855.8"
2021,March,2 Eastern, Indigo,431,"2,517.8"
2021,March,2 Eastern, Knox,"8,305","5,048.0"
2021,March,2 Eastern, Latrobe,"9,109","11,944.3"
2021,March,2 Eastern, Manningham,"3,380","2,647.1"
2021,March,2 Eastern, Mansfield,390,"4,068.1"
2021,March,2 Eastern, Maroondah,"5,726","4,812.4"
2021,March,2 Eastern, Mitchell,"3,183","6,552.2"
2021,March,2 Eastern, Moira,"1,635","5,458.6"
2021,March,2 Eastern, Monash,"9,593","4,806.6"
2021,March,2 Eastern, Murrindindi,666,"4,463.1"
2021,March,2 Eastern, South Gippsland,"1,267","4,157.9"
2021,March,2 Eastern, Strathbogie,457,"4,128.4"
2021,March,2 Eastern, Towong,153,"2,491.5"
2021,March,2 Eastern, Wangaratta,"1,665","5,707.5"
2021,March,2 Eastern, Wellington,"3,237","7,172.6"
2021,March,2 Eastern, Whitehorse,"6,968","3,917.7"
2021,March,2 Eastern, Wodonga,"2,426","5,642.9"
2021,March,2 Eastern, Yarra Ranges,"6,154","3,863.4"
2021,March,2 Eastern,Total,"87,403","5,066.3"
2021,March,3 Southern Metro, Bayside,"3,839","3,584.8"
2021,March,3 Southern Metro, Cardinia,"5,572","4,697.9"
2021,March,3 Southern Metro, Casey,"16,206","4,375.5"
2021,March,3 Southern Metro, Frankston,"10,234","7,147.1"
2021,March,3 Southern Metro, Glen Eira,"6,036","3,858.4"
2021,March,3 Southern Metro, Greater Dandenong,"14,257","8,631.1"
2021,March,3 Southern Metro, Kingston,"8,066","4,854.2"
2021,March,3 Southern Metro, Mornington Peninsula,"7,648","4,511.8"
2021,March,3 Southern Metro, Port Phillip,"10,235","8,974.7"
2021,March,3 Southern Metro, Stonnington,"8,981","7,736.5"
2021,March,3 Southern Metro,Total,"91,074","5,598.7"
2021,March,4 Western, Ararat,"1,092","9,104.3"
2021,March,4 Western, Ballarat,"7,222","6,388.1"
2021,March,4 Western, Buloke,243,"4,030.5"
2021,March,4 Western, Campaspe,"2,459","6,539.2"
2021,March,4 Western, Central Goldfields,823,"6,304.6"
2021,March,4 Western, Colac-Otway,"1,228","5,678.4"
2021,March,4 Western, Corangamite,687,"4,371.6"
2021,March,4 Western, Gannawarra,642,"6,217.5"
2021,March,4 Western, Glenelg,"1,052","5,380.3"
2021,March,4 Western, Golden Plains,454,"1,837.4"
2021,March,4 Western, Greater Bendigo,"8,029","6,595.4"
2021,March,4 Western, Greater Geelong,"15,568","5,757.7"
2021,March,4 Western, Hepburn,509,"3,144.7"
2021,March,4 Western, Hindmarsh,289,"5,238.0"
2021,March,4 Western, Horsham,"1,475","7,391.8"
2021,March,4 Western, Loddon,413,"5,525.9"
2021,March,4 Western, Macedon Ranges,"1,860","3,604.1"
2021,March,4 Western, Mildura,"4,417","7,929.3"
2021,March,4 Western, Moorabool,"1,994","5,416.1"
2021,March,4 Western, Mount Alexander,730,"3,623.6"
2021,March,4 Western, Moyne,513,"3,021.0"
2021,March,4 Western, Northern Grampians,899,"7,974.1"
2021,March,4 Western, Pyrenees,345,"4,562.2"
2021,March,4 Western, Queenscliffe,82,"2,727.9"
2021,March,4 Western, Southern Grampians,796,"4,962.0"
2021,March,4 Western, Surf Coast,"1,165","3,254.7"
2021,March,4 Western, Swan Hill,"1,861","9,133.6"
2021,March,4 Western, Warrnambool,"2,209","6,229.8"
2021,March,4 Western, West Wimmera,122,"3,236.8"
2021,March,4 Western, Yarriambiack,335,"5,197.1"
2021,March,4 Western,Total,"59,513","5,745.1"
2021,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,276",
2021,March,Justice Institutions and Immigration Facilities,Total,"1,276",
2021,March,Unincorporated Vic, Unincorporated Vic,30,
2021,March,Unincorporated Vic,Total,30,
2020,March,1 North West Metro, Banyule,"7,265","5,506.3"
2020,March,1 North West Metro, Brimbank,"15,483","7,434.9"
2020,March,1 North West Metro, Darebin,"11,898","7,149.0"
2020,March,1 North West Metro, Hobsons Bay,"4,905","4,995.5"
2020,March,1 North West Metro, Hume,"15,894","6,589.9"
2020,March,1 North West Metro, Maribyrnong,"7,308","7,694.1"
2020,March,1 North West Metro, Melbourne,"26,881","14,628.6"
2020,March,1 North West Metro, Melton,"9,323","5,404.6"
2020,March,1 North West Metro, Moonee Valley,"6,720","5,100.5"
2020,March,1 North West Metro, Moreland,"11,102","5,881.5"
2020,March,1 North West Metro, Nillumbik,"1,691","2,592.8"
2020,March,1 North West Metro, Whittlesea,"12,246","5,177.2"
2020,March,1 North West Metro, Wyndham,"13,874","4,897.4"
2020,March,1 North West Metro, Yarra,"11,433","11,086.5"
2020,March,1 North West Metro,Total,"156,023","6,766.2"
2020,March,2 Eastern, Alpine,438,"3,376.2"
2020,March,2 Eastern, Bass Coast,"1,787","4,772.3"
2020,March,2 Eastern, Baw Baw,"3,587","6,535.6"
2020,March,2 Eastern, Benalla,935,"6,613.9"
2020,March,2 Eastern, Boroondara,"6,522","3,563.5"
2020,March,2 Eastern, East Gippsland,"3,638","7,622.8"
2020,March,2 Eastern, Greater Shepparton,"6,384","9,518.4"
2020,March,2 Eastern, Indigo,430,"2,546.6"
2020,March,2 Eastern, Knox,"8,877","5,375.2"
2020,March,2 Eastern, Latrobe,"10,076","13,272.7"
2020,March,2 Eastern, Manningham,"3,742","2,902.4"
2020,March,2 Eastern, Mansfield,337,"3,557.1"
2020,March,2 Eastern, Maroondah,"5,921","4,958.9"
2020,March,2 Eastern, Mitchell,"3,122","6,552.4"
2020,March,2 Eastern, Moira,"1,835","6,113.0"
2020,March,2 Eastern, Monash,"9,580","4,674.6"
2020,March,2 Eastern, Murrindindi,598,"4,078.8"
2020,March,2 Eastern, South Gippsland,"1,360","4,496.2"
2020,March,2 Eastern, Strathbogie,475,"4,321.3"
2020,March,2 Eastern, Towong,155,"2,540.2"
2020,March,2 Eastern, Wangaratta,"1,749","5,990.3"
2020,March,2 Eastern, Wellington,"3,385","7,560.9"
2020,March,2 Eastern, Whitehorse,"7,355","4,069.5"
2020,March,2 Eastern, Wodonga,"2,828","6,628.9"
2020,March,2 Eastern, Yarra Ranges,"6,190","3,869.8"
2020,March,2 Eastern,Total,"91,306","5,262.8"
2020,March,3 Southern Metro, Bayside,"4,195","3,900.8"
2020,March,3 Southern Metro, Cardinia,"5,449","4,689.6"
2020,March,3 Southern Metro, Casey,"17,157","4,705.7"
2020,March,3 Southern Metro, Frankston,"11,100","7,743.9"
2020,March,3 Southern Metro, Glen Eira,"6,105","3,858.6"
2020,March,3 Southern Metro, Greater Dandenong,"14,725","8,746.0"
2020,March,3 Southern Metro, Kingston,"9,036","5,401.3"
2020,March,3 Southern Metro, Mornington Peninsula,"8,620","5,104.8"
2020,March,3 Southern Metro, Port Phillip,"9,984","8,571.7"
2020,March,3 Southern Metro, Stonnington,"9,464","7,978.8"
2020,March,3 Southern Metro,Total,"95,835","5,881.3"
2020,March,4 Western, Ararat,894,"7,471.8"
2020,March,4 Western, Ballarat,"8,713","7,824.1"
2020,March,4 Western, Buloke,254,"4,163.3"
2020,March,4 Western, Campaspe,"2,798","7,426.7"
2020,March,4 Western, Central Goldfields,866,"6,614.7"
2020,March,4 Western, Colac-Otway,"1,280","5,909.0"
2020,March,4 Western, Corangamite,549,"3,446.5"
2020,March,4 Western, Gannawarra,608,"5,846.2"
2020,March,4 Western, Glenelg,"1,165","5,937.5"
2020,March,4 Western, Golden Plains,472,"1,946.5"
2020,March,4 Western, Greater Bendigo,"8,324","6,937.8"
2020,March,4 Western, Greater Geelong,"17,002","6,419.1"
2020,March,4 Western, Hepburn,738,"4,567.7"
2020,March,4 Western, Hindmarsh,246,"4,399.1"
2020,March,4 Western, Horsham,"1,356","6,773.9"
2020,March,4 Western, Loddon,366,"4,897.6"
2020,March,4 Western, Macedon Ranges,"1,724","3,382.3"
2020,March,4 Western, Mildura,"5,547","9,916.5"
2020,March,4 Western, Moorabool,"1,641","4,556.7"
2020,March,4 Western, Mount Alexander,894,"4,469.8"
2020,March,4 Western, Moyne,506,"2,971.8"
2020,March,4 Western, Northern Grampians,735,"6,445.7"
2020,March,4 Western, Pyrenees,350,"4,632.7"
2020,March,4 Western, Queenscliffe,101,"3,357.7"
2020,March,4 Western, Southern Grampians,887,"5,497.7"
2020,March,4 Western, Surf Coast,"1,043","2,999.6"
2020,March,4 Western, Swan Hill,"1,770","8,619.9"
2020,March,4 Western, Warrnambool,"2,468","6,945.7"
2020,March,4 Western, West Wimmera,142,"3,727.0"
2020,March,4 Western, Yarriambiack,319,"4,842.1"
2020,March,4 Western,Total,"63,758","6,217.7"
2020,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,378",
2020,March,Justice Institutions and Immigration Facilities,Total,"1,378",
2020,March,Unincorporated Vic, Unincorporated Vic,110,
2020,March,Unincorporated Vic,Total,110,
2019,March,1 North West Metro, Banyule,"7,007","5,322.9"
2019,March,1 North West Metro, Brimbank,"14,664","6,997.3"
2019,March,1 North West Metro, Darebin,"11,247","6,848.6"
2019,March,1 North West Metro, Hobsons Bay,"4,848","4,958.8"
2019,March,1 North West Metro, Hume,"15,592","6,676.2"
2019,March,1 North West Metro, Maribyrnong,"6,669","7,134.0"
2019,March,1 North West Metro, Melbourne,"26,561","14,839.0"
2019,March,1 North West Metro, Melton,"8,332","5,051.7"
2019,March,1 North West Metro, Moonee Valley,"6,486","4,977.2"
2019,March,1 North West Metro, Moreland,"11,408","6,139.6"
2019,March,1 North West Metro, Nillumbik,"1,624","2,494.7"
2019,March,1 North West Metro, Whittlesea,"11,910","5,171.6"
2019,March,1 North West Metro, Wyndham,"11,462","4,235.7"
2019,March,1 North West Metro, Yarra,"11,182","11,015.0"
2019,March,1 North West Metro,Total,"148,992","6,599.0"
2019,March,2 Eastern, Alpine,399,"3,114.3"
2019,March,2 Eastern, Bass Coast,"1,782","4,907.1"
2019,March,2 Eastern, Baw Baw,"3,179","5,953.9"
2019,March,2 Eastern, Benalla,877,"6,249.1"
2019,March,2 Eastern, Boroondara,"5,570","3,040.4"
2019,March,2 Eastern, East Gippsland,"3,193","6,749.4"
2019,March,2 Eastern, Greater Shepparton,"6,229","9,366.8"
2019,March,2 Eastern, Indigo,371,"2,221.7"
2019,March,2 Eastern, Knox,"8,093","4,918.2"
2019,March,2 Eastern, Latrobe,"9,942","13,159.0"
2019,March,2 Eastern, Manningham,"3,411","2,673.5"
2019,March,2 Eastern, Mansfield,321,"3,498.6"
2019,March,2 Eastern, Maroondah,"6,034","5,089.0"
2019,March,2 Eastern, Mitchell,"3,034","6,583.2"
2019,March,2 Eastern, Moira,"1,682","5,621.7"
2019,March,2 Eastern, Monash,"8,032","3,958.7"
2019,March,2 Eastern, Murrindindi,593,"4,070.6"
2019,March,2 Eastern, South Gippsland,996,"3,330.0"
2019,March,2 Eastern, Strathbogie,448,"4,156.6"
2019,March,2 Eastern, Towong,173,"2,864.7"
2019,March,2 Eastern, Wangaratta,"1,639","5,616.1"
