id,postcode,locality,state,long,lat
4746,3000,MELBOURNE,VIC,144.956776,-37.817403
4747,3001,MELBOURNE,VIC,144.956776,-37.817403
4748,3002,EAST MELBOURNE,VIC,144.982207,-37.818517
4749,3003,WEST MELBOURNE,VIC,144.949592,-37.810871
4750,3004,MELBOURNE,VIC,144.970161,-37.844246
4751,3004,ST KILDA ROAD CENTRAL,VIC,144.970161,-37.844246
22851,3004,ST KILDA ROAD MELBOURNE,VIC,0,0
4752,3005,WORLD TRADE CENTRE,VIC,144.950858,-37.824608
20754,3006,SOUTH WHARF,VIC,144.9520744,-37.82528675
4753,3006,SOUTHBANK,VIC,144.965926,-37.823258
4754,3008,DOCKLANDS,VIC,144.948039,-37.814719
4755,3010,UNIVERSITY OF MELBOURNE,VIC,144.961351,-37.796152
4756,3011,FOOTSCRAY,VIC,144.907953,-37.807101
4757,3011,SEDDON,VIC,144.907953,-37.807101
4758,3011,SEDDON WEST,VIC,144.907953,-37.807101
4759,3012,BROOKLYN,VIC,144.861162,-37.807135
4760,3012,KINGSVILLE,VIC,144.861162,-37.807135
4761,3012,KINGSVILLE WEST,VIC,144.861162,-37.807135
4762,3012,MAIDSTONE,VIC,144.861162,-37.807135
4763,3012,TOTTENHAM,VIC,144.861162,-37.807135
4764,3012,WEST FOOTSCRAY,VIC,144.861162,-37.807135
4765,3013,YARRAVILLE,VIC,144.888686,-37.814183
4766,3013,YARRAVILLE WEST,VIC,144.888686,-37.814183
4767,3015,NEWPORT,VIC,144.880556,-37.838242
4768,3015,SOUTH KINGSVILLE,VIC,144.880556,-37.838242
4769,3015,SPOTSWOOD,VIC,144.880556,-37.838242
4770,3016,WILLIAMSTOWN,VIC,144.888461,-37.863743
4771,3016,WILLIAMSTOWN NORTH,VIC,144.888461,-37.863743
4772,3018,ALTONA,VIC,144.812736,-37.86172
4773,3018,SEAHOLME,VIC,144.812736,-37.86172
4774,3019,BRAYBROOK,VIC,144.854014,-37.784683
4775,3019,BRAYBROOK NORTH,VIC,144.854014,-37.784683
4776,3019,ROBINSON,VIC,144.854014,-37.784683
4777,3020,ALBION,VIC,144.829945,-37.777204
4778,3020,GLENGALA,VIC,144.829945,-37.777204
4779,3020,SUNSHINE,VIC,144.829945,-37.777204
4780,3020,SUNSHINE NORTH,VIC,144.829945,-37.777204
4781,3020,SUNSHINE WEST,VIC,144.829945,-37.777204
4782,3021,ALBANVALE,VIC,144.796693,-37.743361
4783,3021,KEALBA,VIC,144.796693,-37.743361
4784,3021,KINGS PARK,VIC,144.796693,-37.743361
4785,3021,ST ALBANS,VIC,144.796693,-37.743361
4786,3022,ARDEER,VIC,144.793961,-37.795937
4787,3022,DEER PARK EAST,VIC,144.793961,-37.795937
4788,3023,BURNSIDE,VIC,144.770641,-37.78272
20755,3023,BURNSIDE HEIGHTS,VIC,144.755657,-37.73218752
4789,3023,CAIRNLEA,VIC,144.770641,-37.78272
4790,3023,CAROLINE SPRINGS,VIC,144.770641,-37.78272
4791,3023,DEER PARK,VIC,144.770641,-37.78272
4792,3023,DEER PARK NORTH,VIC,144.770641,-37.78272
4793,3023,RAVENHALL,VIC,144.770641,-37.78272
20756,3024,FIELDSTONE,VIC,144.649936,-37.75045631
4794,3024,MAMBOURIN,VIC,144.556552,-37.899873
20757,3024,MANOR LAKES,VIC,144.5812323,-37.86694209
4795,3024,MOUNT COTTRELL,VIC,144.556552,-37.899873
4796,3024,WYNDHAM VALE,VIC,144.556552,-37.899873
4797,3025,ALTONA EAST,VIC,144.839704,-37.835562
4798,3025,ALTONA GATE,VIC,144.839704,-37.835562
4799,3025,ALTONA NORTH,VIC,144.839704,-37.835562
4800,3026,LAVERTON NORTH,VIC,144.774986,-37.829923
4801,3027,LAVERTON RAAF,VIC,144.754147,-37.932419
20758,3027,WILLIAMS LANDING,VIC,144.7430155,-37.86199812
4802,3027,WILLIAMS RAAF,VIC,144.754147,-37.932419
4803,3028,ALTONA MEADOWS,VIC,144.777165,-37.875066
4804,3028,LAVERTON,VIC,144.777165,-37.875066
4805,3028,SEABROOK,VIC,144.777165,-37.875066
4806,3029,HOPPERS CROSSING,VIC,144.705831,-37.837165
4807,3029,TARNEIT,VIC,144.705831,-37.837165
4808,3029,TRUGANINA,VIC,144.705831,-37.837165
4809,3030,CHARTWELL,VIC,144.64209,-37.91624
4810,3030,COCOROC,VIC,144.64209,-37.91624
4811,3030,DERRIMUT,VIC,144.64209,-37.91624
4812,3030,POINT COOK,VIC,144.64209,-37.91624
4813,3030,QUANDONG,VIC,144.64209,-37.91624
4814,3030,WERRIBEE,VIC,144.64209,-37.91624
4815,3030,WERRIBEE SOUTH,VIC,144.64209,-37.91624
4816,3031,FLEMINGTON,VIC,144.923403,-37.79119
4817,3031,KENSINGTON,VIC,144.923403,-37.79119
4818,3032,ASCOT VALE,VIC,144.897221,-37.774486
4819,3032,HIGHPOINT CITY,VIC,144.897221,-37.774486
4820,3032,MARIBYRNONG,VIC,144.897221,-37.774486
4821,3032,TRAVANCORE,VIC,144.897221,-37.774486
4822,3033,KEILOR EAST,VIC,144.857638,-37.74107
4823,3034,AVONDALE HEIGHTS,VIC,144.86194,-37.761235
4824,3036,KEILOR,VIC,144.82246,-37.705324
4825,3036,KEILOR NORTH,VIC,144.82246,-37.705324
4826,3037,CALDER PARK,VIC,144.780474,-37.715579
4827,3037,DELAHEY,VIC,144.780474,-37.715579
4828,3037,HILLSIDE,VIC,144.780474,-37.715579
4829,3037,PLUMPTON,VIC,144.780474,-37.715579
4830,3037,SYDENHAM,VIC,144.780474,-37.715579
4831,3037,TAYLORS HILL,VIC,144.780474,-37.715579
4832,3038,KEILOR DOWNS,VIC,144.766873,-37.700454
4833,3038,KEILOR LODGE,VIC,144.766873,-37.700454
4834,3038,TAYLORS LAKES,VIC,144.766873,-37.700454
4835,3038,WATERGARDENS,VIC,144.766873,-37.700454
4836,3039,MOONEE PONDS,VIC,144.922995,-37.766184
4837,3040,ABERFELDIE,VIC,144.902556,-37.751845
4838,3040,ESSENDON,VIC,144.902556,-37.751845
4839,3040,ESSENDON WEST,VIC,144.902556,-37.751845
20759,3041,ESSENDON FIELDS,VIC,144.9011039,-37.72674618
4840,3041,ESSENDON NORTH,VIC,144.904815,-37.731464
4841,3041,STRATHMORE,VIC,144.904815,-37.731464
4842,3041,STRATHMORE HEIGHTS,VIC,144.904815,-37.731464
4843,3042,AIRPORT WEST,VIC,144.866305,-37.727529
4844,3042,KEILOR PARK,VIC,144.866305,-37.727529
4845,3042,NIDDRIE,VIC,144.866305,-37.727529
22854,3042,NIDDRIE NORTH,VIC,0,0
4846,3043,GLADSTONE PARK,VIC,144.888368,-37.691916
4847,3043,GOWANBRAE,VIC,144.888368,-37.691916
4848,3043,TULLAMARINE,VIC,144.888368,-37.691916
4849,3044,PASCOE VALE,VIC,144.936356,-37.731138
4850,3044,PASCOE VALE SOUTH,VIC,144.936356,-37.731138
4851,3045,MELBOURNE AIRPORT,VIC,144.836195,-37.674739
4852,3046,GLENROY,VIC,144.927968,-37.706578
4853,3046,HADFIELD,VIC,144.927968,-37.706578
4854,3046,OAK PARK,VIC,144.927968,-37.706578
4855,3047,BROADMEADOWS,VIC,144.930247,-37.681105
4856,3047,DALLAS,VIC,144.930247,-37.681105
4857,3047,JACANA,VIC,144.930247,-37.681105
4858,3048,COOLAROO,VIC,144.923609,-37.653917
4859,3048,MEADOW HEIGHTS,VIC,144.923609,-37.653917
